w_mm,freq_ghz,r_ohm,l_uH,g_uS,c_pF
0.3,1.41,24.6184467994355,0.968202397600364,34.5413055465383,14.3357491395219
0.3,1.44,24.8575953691204,0.968172085821643,35.2415354381103,14.3356957607923
0.3,1.47,25.0937375594527,0.968142707619516,35.942636239899,14.3356436765646
0.3,1.5,25.3270126498923,0.968114217086194,36.6449684791491,14.3355928239602
0.3,1.53,25.5575585615233,0.968086571000771,37.3488817012089,14.3355431420147
0.3,1.56,25.7855115346186,0.968059728602073,38.0547140402931,14.3354945717531
0.3,1.59,26.0110058419141,0.968033651389976,38.7627919508474,14.3354470562368
0.3,1.62,26.2341735373544,0.968008302950658,39.4734300728975,14.3354005405865
0.3,1.65,26.4551442392822,0.967983648802061,40.1869312083624,14.3353549719868
0.3,1.68,26.6740449464809,0.967959656256456,40.9035863884963,14.3353102996744
0.3,1.71,26.8909998851158,0.967936294297571,41.6236750154319,14.3352664749132
0.3,1.74,27.1061303843855,0.967913533470155,42.3474650632588,14.3352234509595
0.3,1.77,27.3195547785787,0.967891345780226,43.0752133262232,14.3351811830184
0.3,1.8,27.5313883331967,0.967869704604521,43.8071657035105,14.3351396281945
0.3,1.83,27.7417431928237,0.967848584607934,44.5435575116979,14.3350987454373
0.3,1.86,27.9507283485007,0.967827961667922,45.2846138173761,14.335058495483
0.3,1.89,28.1584496224576,0.967807812805,46.0305497836525,14.3350188407943
0.3,1.92,28.365009668177,0.96778811611862,46.7815710252969,14.3349797454985
0.3,1.95,28.5705079839028,0.967768850727807,47.5378739681888,14.3349411753246
0.3,1.98,28.7750409378392,0.967749996716042,48.2996462094964,14.3349030975409
0.3,2.01,28.9787018034346,0.967731535079935,49.067066875672,14.334865480892
0.3,2.04,29.1815808032797,0.967713447681329,49.8403069759107,14.3348282955377
0.3,2.07,29.3837651602872,0.967695717202486,50.6195297491935,14.3347915129923
0.3,2.1,29.5853391549498,0.967678327104091,51.4048910034376,14.3347551060653
0.4,0.6,13.0196481657404,0.916042828237504,14.6914036284741,15.0081421184184
0.4,0.63,13.3207904932217,0.915956518700521,15.4554660318976,15.0080383944215
0.4,0.66,13.6143654191396,0.915876853175148,16.2215235839827,15.0079357614443
