freq,s11,s12,s21,s22
1.8245,-0.0225341942212792 + 0.777118025207596i,-0.484947512590429 + 0.398643667567507i,-0.484947512590428 + 0.398643667567507i,0.767493984493259 + 0.128081428286156i
1.831,-0.00450047668918918 + 0.779857925834301i,-0.47761931335447 + 0.402742929945776i,-0.47761931335447 + 0.402742929945776i,0.7701121642744 + 0.127081287177696i
1.8375,0.0134025237839861 + 0.782145307253218i,-0.470332061637417 + 0.406678503641712i,-0.470332061637417 + 0.406678503641712i,0.772701032692834 + 0.126014400139201i
1.844,0.0311649739903999 + 0.783992379343665i,-0.46308924643218 + 0.410455460043137i,-0.46308924643218 + 0.410455460043138i,0.77525919141362 + 0.124882610938862i
1.8505,0.0487777598129688 + 0.785411349252337i,-0.455894072852343 + 0.414078863493942i,-0.455894072852343 + 0.414078863493942i,0.777785347553028 + 0.123687757208452i
1.857,0.0662324605572245 + 0.786414388923106i,-0.448749472245303 + 0.417553759053757i,-0.448749472245303 + 0.417553759053758i,0.780278309589024 + 0.122431665821925i
1.8635,0.0835213226439732 + 0.787013605350586i,-0.441658112518968 + 0.42088516131309i,-0.441658112518968 + 0.420885161313091i,0.782736983198485 + 0.121116148683439i
1.87,0.100637232859479 + 0.787221013461149i,-0.434622408607126 + 0.424078044224589i,-0.434622408607126 + 0.424078044224589i,0.7851603670495 + 0.119742998908869i
1.8765,0.117573691342111 + 0.787048511517041i,-0.427644533005572 + 0.427137331908262i,-0.427644533005572 + 0.427137331908263i,0.787547548574437 + 0.118313987383818i
1.883,0.134324784467111 + 0.786507858933171i,-0.420726426317792 + 0.430067890386277i,-0.420726426317791 + 0.430067890386277i,0.789897699746807 + 0.116830859680372i
1.8895,0.150885157774549 + 0.785610656391706i,-0.413869807755424 + 0.432874520201436i,-0.413869807755424 + 0.432874520201437i,0.792210072882487 + 0.115295333314349i
1.896,0.167249989069667 + 0.784368328136699i,-0.407076185544906 + 0.435561949872506i,-0.407076185544907 + 0.435561949872507i,0.794483996483431 + 0.113709095324446i
1.9025,0.183414961809758 + 0.782792106329386i,-0.400346867197485 + 0.438134830139077i,-0.400346867197484 + 0.438134830139077i,0.796718871139809 + 0.112073800154642i
1.909,0.19937623887755 + 0.780893017344413i,-0.393682969605262 + 0.440597728948669i,-0.393682969605262 + 0.440597728948669i,0.798914165504344 + 0.110391067821218i
